latitude,max_temp,humidity,cloudiness,wind_speed
62.45,255.37,76,40,3.1
62.89,272.15,80,5,6.7
64.25,272.92,65,100,4.86
-46.19,285.37,63,35,8.49
-23.12,299.34,78,94,5.45
18.62,295.1,80,71,0.83
-53.16,284.15,62,75,3.1
-20.34,298.15,94,75,5.75
-9.8,300.06,73,0,7.03
49.72,264.15,85,90,0.95
70.62,244.94,97,46,2.15
34.47,288.15,30,1,2.1
-33.64,292.59,45,26,0.89
71.97,245.82,97,98,2.71
-33.21,298.57,42,0,8.82
-17.52,294.66,93,100,2.88
19.71,301.15,58,1,4.1
71.64,245.62,85,100,3.76
-33.93,292.04,88,19,7.2
47.55,280.93,93,0,2.6
37.46,287.59,71,75,4.32
-0.41,296.6,66,14,0.87
33.19,292.15,88,90,2.1
51.26,263.15,85,90,4.1
47.66,273.15,86,75,8.7
-46.28,283.29,72,92,15.44
37.02,284.26,81,0,2.6
-34.42,290.93,86,0,0.89
5.42,302.15,62,20,6.2
-46.43,290.01,59,13,5.74
38.52,289.27,92,87,6.64
29.06,289.15,82,0,3.6
-36.63,299.15,39,0,5.7
13.78,300.49,77,6,10.09
-23.58,304.69,35,21,5.75
68.75,255.91,64,0,4.61
38.42,268.92,60,100,1.46
28.68,283.75,81,100,1.9
-33.59,293.71,98,100,4.25
-21.21,300.15,74,8,7.2
64.27,251.72,99,100,0.5
-33.02,297.04,96,85,4.21
22.08,300.15,61,20,7.7
36.62,289.26,58,1,3.36
77.48,232.95,97,100,2.49
64.42,247.45,72,0,4.08
60.72,258.15,84,90,5.1
14.9,294.79,73,88,4.57
15.34,284.15,100,40,0.65
-54.81,282.15,70,75,6.7
11.42,287.16,18,0,2.6
60.79,250.15,76,1,6.7
70.47,239.15,66,1,2.6
35.73,282.04,52,75,3.6
54.41,276.46,93,100,7.33
35.03,287.04,93,72,4.1
62.16,275.15,64,54,6.2
41.42,276.57,94,3,1.83
63.84,269.15,68,100,5.7
-20.01,298.15,94,75,4.17
-34.53,293.15,68,8,0.5
35.27,275.93,54,20,5.7
13.9,299.96,79,79,9.82
59.7,276.48,74,40,4.0
23.99,281.15,49,5,3.6
-38.31,294.12,65,0,5.67
5.28,302.15,74,75,2.6
73.51,250.12,94,6,5.9
-25.24,299.15,69,75,5.7
-24.93,297.15,73,75,1.43
-39.37,292.15,82,0,3.1
50.68,269.34,81,100,7.41
-15.55,291.85,94,100,2.1
18.39,286.15,62,0,2.97
-0.74,297.04,83,12,1.79
9.49,298.82,76,100,6.81
65.61,267.15,31,100,8.2
31.86,285.15,46,75,8.2
56.26,267.06,90,100,7.55
33.37,288.15,47,1,0.42
63.05,250.52,76,0,7.74
26.33,286.15,76,40,2.1
69.7,254.4,61,0,2.15
-45.41,285.45,56,96,4.05
42.65,279.26,86,90,1.5
7.69,298.87,76,92,2.95
66.15,258.42,97,100,1.36
78.22,259.15,60,75,4.1
37.17,273.71,63,0,2.82
45.36,277.59,100,90,2.35
-8.93,293.88,92,100,2.83
11.67,300.69,77,0,5.75
50.56,271.48,91,100,2.24
72.79,247.92,97,100,7.98
-18.65,301.15,65,20,4.1
49.22,272.59,100,90,2.85
0.54,302.05,74,100,2.97
60.89,242.02,94,81,1.17
-2.57,302.61,68,100,1.88
-33.69,291.64,82,0,3.56
38.9,277.04,69,75,3.1
-42.88,301.15,30,93,7.2
-22.55,294.13,92,57,2.62
48.59,262.78,89,65,2.66
16.17,298.15,88,3,0.63
-30.17,295.96,78,9,11.18
54.32,278.15,93,90,1.5
-38.55,291.5,72,0,6.12
-3.31,302.15,69,79,2.79
27.18,280.15,75,21,4.6
-0.92,300.15,64,41,1.59
-42.78,300.15,34,36,9.8
-34.58,316.48,24,3,5.1
18.39,300.15,83,75,1.5
43.65,264.87,74,0,2.05
49.98,247.75,87,0,0.61
50.98,267.29,92,57,4.31
55.74,259.15,84,20,2.6
13.22,298.15,73,20,2.6
20.52,286.52,19,48,5.74
69.44,243.15,74,20,5.7
46.45,255.58,83,0,1.76
-41.13,292.15,52,40,6.2
-5.11,299.98,82,100,7.04
-37.83,289.15,72,75,8.2
46.84,271.15,74,90,2.1
39.95,276.15,64,40,5.7
-34.0,293.01,93,98,1.58
-20.73,309.15,30,75,6.2
-27.15,296.15,94,75,5.1
60.11,274.89,67,100,4.84
-6.22,294.04,99,100,1.43
-2.92,299.15,94,40,2.35
37.77,286.48,71,1,2.11
-9.87,295.0,97,91,2.92
39.73,268.64,36,100,0.55
39.31,283.15,100,90,1.73
53.11,267.34,95,100,1.91
30.3,283.15,52,1,2.6
37.55,271.15,79,75,3.1
60.14,271.18,63,100,2.62
16.42,285.52,23,1,4.86
48.83,284.82,87,90,3.1
56.36,253.3,95,100,0.69
-20.31,307.15,46,40,4.6
57.31,267.5,94,100,3.87
41.91,279.26,86,90,3.1
-20.63,292.88,96,100,1.68
55.93,262.05,96,92,2.07
7.04,301.15,74,90,6.7
-3.71,303.15,78,20,2.1
46.68,261.0,79,0,3.39
-14.9,299.56,82,83,2.64
-34.48,288.08,95,0,2.36
58.6,267.03,91,100,4.11
27.8,284.32,80,94,1.34
5.35,296.99,82,73,4.97
-9.84,295.56,88,100,2.91
-22.97,298.15,88,75,2.1
41.89,282.04,93,100,1.5
41.33,275.15,82,90,1.5
39.45,275.93,70,0,0.84
20.2,282.85,35,29,6.1
-33.86,292.15,45,75,4.1
51.65,277.59,100,44,3.6
45.41,265.62,66,95,2.05
35.98,287.59,100,90,1.5
54.3,274.26,97,90,6.2
33.93,287.04,53,40,4.1
70.63,273.15,89,75,11.3
6.8,300.15,78,20,3.1
-13.71,295.15,88,75,7.2
-41.87,285.15,66,0,5.1
-0.6,301.37,68,0,0.67
17.01,294.15,64,20,2.6
56.56,257.12,88,84,5.66
-19.55,299.15,69,0,6.2
42.55,277.04,99,0,1.05
26.12,294.15,60,20,3.1
-15.77,299.15,88,40,7.2
10.65,297.15,83,20,3.15
42.1,277.59,93,0,0.5
-13.19,298.27,90,58,0.77
-20.41,298.15,94,75,3.54
-16.78,300.74,76,0,4.83
45.19,280.26,76,100,6.16
-11.84,291.06,93,100,1.34
32.77,287.75,58,27,10.07
24.59,287.72,59,68,2.45
-2.02,302.43,72,94,2.67
50.7,279.15,93,90,6.7
69.22,262.15,66,100,4.1
-28.65,306.15,58,0,7.7
34.64,290.15,41,1,4.1
3.07,302.04,74,100,3.58
8.96,283.32,84,0,0.95
-16.48,300.64,78,70,4.79
-23.13,304.15,40,40,4.6
11.0,299.48,83,47,5.86
71.0,273.15,70,75,11.3
-27.8,296.31,49,0,2.01
43.32,268.15,45,20,5.1
-34.05,292.71,86,33,1.5
53.61,262.38,82,92,1.87
49.76,270.15,79,95,1.59
27.71,280.15,100,75,1.0
-35.17,290.22,73,47,9.22
-22.28,305.15,46,20,8.2
-25.3,303.71,48,40,3.6
53.95,276.15,93,75,8.7
40.6,287.04,54,1,1.5
30.33,297.59,100,1,3.6
51.96,264.26,96,100,4.64
-0.97,296.53,68,3,0.3
37.8,278.15,93,90,2.6
-17.73,303.15,66,75,6.2
55.1,263.15,78,90,1.0
-23.65,292.15,82,90,4.6
-29.14,295.31,52,0,2.68
45.55,276.48,90,75,2.6
26.0,289.65,89,15,1.02
-2.67,300.93,82,100,9.94
54.37,258.01,97,88,3.75
29.72,280.76,73,99,0.85
4.14,299.95,77,0,2.32
60.45,277.04,64,75,8.7
34.88,295.15,100,90,4.6
3.81,296.11,50,100,0.77
60.75,249.99,99,100,2.65
-3.48,287.6,87,98,1.63
-12.9,300.15,94,20,2.1
65.28,241.15,74,20,1.0
39.62,282.59,93,90,1.5
5.94,291.54,25,76,4.59
34.68,284.15,53,40,6.2
57.01,267.39,90,100,6.04
16.99,300.15,78,40,2.6
71.98,253.71,98,100,2.26
-41.43,296.48,64,90,7.7
1.24,300.15,83,75,1.0
47.92,259.44,76,0,1.21
40.53,276.48,86,1,2.6
-18.48,295.15,73,89,1.5
13.93,302.04,61,20,1.5
50.25,271.48,91,95,2.24
66.32,248.61,71,0,5.11
-10.46,302.0,69,81,4.27
58.85,275.49,79,100,4.64
63.45,248.03,97,100,2.73
-42.48,285.15,66,4,5.1
42.1,280.93,86,90,1.5
-11.1,292.83,84,100,1.99
50.23,264.15,92,90,3.1
2.68,294.55,63,50,1.57
60.4,277.15,55,80,11.3
22.93,287.18,65,0,0.17
-3.15,302.52,70,90,6.11
33.73,284.82,57,75,6.2
14.29,302.04,61,20,1.5
33.08,290.15,67,20,5.1
47.96,263.66,77,100,1.29
56.19,266.6,91,100,4.86
20.76,299.15,82,75,8.2
-16.56,282.94,78,100,3.47
-1.83,296.42,68,8,0.85
68.22,245.15,75,90,1.5
-24.7,294.09,98,100,0.66
68.05,268.1,84,100,12.25
-30.97,289.62,79,0,3.83
-22.09,287.33,47,7,1.25
13.64,287.1,29,19,7.54
35.39,282.04,40,86,1.65
26.59,278.0,82,0,1.31
-30.89,291.74,74,0,4.02
22.89,294.82,60,20,2.6
54.99,265.48,92,100,6.29
-38.38,290.93,74,100,8.12
-51.62,284.15,57,20,6.7
7.45,298.87,76,92,2.95
20.89,299.15,82,75,8.2
-14.4,295.78,91,98,1.06
-3.36,302.98,65,98,0.63
-6.22,295.62,90,64,2.2
43.63,269.15,85,12,0.92
9.5,297.59,95,97,0.45
64.17,268.15,79,97,7.2
56.49,265.6,93,100,6.99
31.63,282.15,81,45,1.0
62.58,276.48,63,100,9.3
53.05,263.15,85,75,3.0
33.31,284.26,66,1,2.6
64.86,250.93,67,1,1.71
30.8,281.64,60,100,1.02
-7.38,302.28,60,92,1.23
50.36,259.37,86,0,0.71
67.46,255.81,71,43,1.15
-39.94,293.71,46,100,5.36
18.74,283.89,35,0,4.3
61.28,258.53,97,96,1.83
34.92,281.15,87,15,3.6
-46.13,285.37,63,53,9.83
5.79,295.15,35,92,4.6
-19.98,298.15,94,75,4.17
42.03,281.15,39,1,6.7
48.64,279.82,95,75,1.0
48.95,280.15,93,75,4.1
67.55,239.53,99,3,0.24
-12.96,299.15,83,75,2.1
-34.72,290.11,66,100,6.08
45.43,273.15,74,0,2.88
-34.6,297.59,64,75,7.2
22.57,292.7,65,0,2.26
-4.18,303.15,78,20,2.1
37.14,284.26,81,0,2.6
1.96,295.53,73,60,1.05
-32.72,288.15,93,62,2.1
-0.88,294.52,48,100,0.6
41.77,281.48,93,90,1.6
-2.86,296.33,90,97,1.12
-10.07,293.78,78,100,1.03
21.35,300.15,88,90,6.22
19.56,296.15,43,40,1.79
63.44,274.2,71,100,16.68
-21.2,300.67,46,40,2.25
36.62,281.15,70,0,3.1
38.73,286.15,82,75,7.87
44.82,280.26,76,100,6.16
-19.04,292.25,93,100,0.09
48.03,266.48,89,0,1.24
40.42,276.15,74,1,0.61
27.97,289.31,52,0,1.37
17.54,301.2,53,0,2.28
45.0,278.15,93,90,3.6
35.98,287.59,93,90,4.1
-38.14,297.59,31,100,3.58
-45.87,297.15,46,26,10.8
52.37,281.15,81,40,6.2
-20.67,296.48,100,90,2.1
50.23,267.15,85,75,5.7
-26.65,290.15,72,0,3.6
12.52,300.15,74,20,6.7
-33.68,293.71,48,0,1.79
62.23,275.15,64,65,6.2
6.12,297.15,100,20,1.5
42.77,283.15,100,90,0.5
64.73,238.15,66,0,6.0
53.07,260.61,94,0,4.55
36.39,280.37,51,0,1.0
21.44,300.15,88,90,6.22
43.26,278.71,86,90,2.6
50.24,273.71,98,99,1.34
-6.22,302.26,63,100,1.29
-10.12,299.04,81,100,5.37
22.89,294.26,64,5,1.5
-34.61,297.59,78,0,6.2
-29.95,289.15,82,90,1.5
20.93,291.15,31,100,6.7
21.82,289.3,72,0,3.87
45.74,282.15,100,90,1.5
59.64,267.15,52,40,1.5
-21.64,296.82,91,100,3.48
65.8,252.84,92,100,5.77
-11.33,289.55,97,100,1.18
49.17,255.22,81,0,0.82
22.54,297.59,68,20,4.1
41.59,271.15,74,1,9.3
17.54,289.15,55,0,1.4
38.74,274.15,83,90,2.1
-26.98,295.87,64,0,2.11
60.91,275.15,34,100,17.5
14.69,296.15,15,100,5.7
24.47,293.15,56,0,2.1
67.55,264.31,95,100,5.38
-15.0,293.79,84,100,1.63
-2.04,296.39,97,64,0.93
67.47,252.8,94,100,8.62
-23.68,293.15,82,100,2.1
20.87,299.15,78,43,6.02
-5.2,300.15,74,40,4.1
-3.54,305.03,53,100,2.52
-13.23,290.97,98,100,0.92
-18.77,294.14,95,100,0.95
55.61,272.15,86,75,4.0
69.38,251.7,74,85,4.63
-41.05,294.26,71,94,9.39
-28.95,306.15,29,0,3.1
42.27,270.28,34,0,2.2
-23.31,296.35,31,1,4.3
18.67,296.74,77,54,0.47
-21.09,291.9,96,100,2.9
45.22,273.71,74,1,5.7
68.06,251.91,55,0,0.6
-30.85,290.83,94,2,2.5
55.34,272.15,100,90,8.2
39.42,275.93,70,0,0.84
69.3,244.8,96,0,0.36
41.45,275.15,93,100,2.33
62.1,244.61,97,99,2.43
-19.8,302.15,62,20,3.6
-24.4,307.03,21,0,3.86
51.51,278.71,80,40,3.6
14.06,295.46,73,0,0.43
16.86,300.15,78,40,2.6
60.47,254.44,76,0,3.31
10.24,296.66,82,19,0.38
39.28,276.15,55,75,2.1
45.6,282.15,100,90,1.5
-20.94,294.83,56,7,2.78
-39.64,292.15,82,0,3.1
-6.64,294.51,99,100,0.95
37.24,281.48,93,89,0.38
1.11,303.06,62,65,2.37
68.54,241.54,100,17,0.35
5.56,301.73,65,0,3.41
29.03,283.06,88,48,4.0
69.49,253.15,76,100,7.0
-28.29,295.15,68,0,5.7
-34.85,297.59,53,75,8.2
55.75,272.15,86,75,4.0
3.12,300.66,50,95,4.07
58.74,274.7,78,53,4.94
24.82,287.26,90,100,1.64
25.39,292.98,65,100,1.4
34.79,279.6,49,100,3.58
-34.91,293.15,77,0,6.7
58.97,258.76,96,100,1.36
54.32,262.15,85,100,1.0
-13.3,292.15,100,75,3.1
32.86,279.15,83,40,3.1
8.12,298.45,72,19,5.47
-17.73,296.2,95,100,5.0
31.8,285.15,46,75,8.2
-5.81,300.15,78,40,3.6
11.28,298.63,56,93,4.43
-42.77,298.15,35,25,8.23
-4.32,298.15,94,75,2.1
-36.62,296.76,54,0,6.58
50.03,267.59,79,90,2.1
28.62,292.15,32,5,2.1
-33.3,300.36,42,0,4.19
-23.7,308.15,24,71,4.6
19.86,294.15,94,53,3.0
31.44,288.71,40,88,0.28
49.42,260.15,92,20,2.1
21.39,300.15,88,90,10.65
35.04,281.53,45,100,0.36
34.7,287.04,61,75,4.1
16.52,291.62,14,94,6.38
-4.26,294.88,99,100,0.88
-5.67,301.35,78,100,7.51
34.39,293.15,30,5,2.6
4.71,286.15,93,20,1.5
24.9,298.39,80,22,7.73
58.81,251.15,83,90,2.46
40.78,281.48,100,90,4.03
48.88,274.15,80,40,4.6
55.38,271.85,92,98,7.73
14.09,297.96,83,95,1.51
36.62,271.52,34,100,2.18
46.88,264.15,78,1,3.1
-30.51,308.71,58,0,11.8
59.24,269.24,84,100,6.1
1.74,303.2,58,0,0.61
44.94,286.15,61,1,2.1
27.87,279.15,41,100,4.1
18.62,295.51,52,61,1.34
14.35,285.74,28,0,5.4
53.59,257.42,94,100,9.12
-19.28,290.66,86,30,3.09
42.73,267.81,59,96,6.79
-22.43,298.77,88,100,5.19
21.46,299.49,78,90,8.34
39.98,275.93,34,0,2.6
44.9,283.15,100,90,1.5
52.26,266.64,96,100,1.22
36.28,278.71,61,77,0.33
-25.17,295.86,90,40,4.94
45.63,277.59,86,90,2.1
2.77,296.67,94,70,0.91
71.03,272.75,83,85,6.66
30.78,258.88,79,31,2.43
55.94,267.67,85,94,3.55
-3.32,302.84,66,28,2.71
19.93,288.52,70,65,1.6
23.63,291.94,96,83,1.15
-9.43,304.15,74,20,4.6
-45.87,287.59,45,73,13.86
42.44,283.15,87,75,1.5
60.73,261.15,85,40,7.0
10.99,303.15,55,94,2.6
29.28,268.41,68,12,1.39
4.94,299.15,83,100,1.5
54.72,253.22,75,0,3.24
66.83,257.88,97,86,4.74
53.87,270.65,90,99,7.05
-16.7,300.79,77,65,5.28
32.38,288.4,68,80,8.61
62.91,276.15,74,100,9.8
-26.53,306.48,58,0,1.34
53.53,251.25,92,0,1.64
51.94,259.55,94,67,2.06
51.13,246.83,89,11,0.65
-32.72,317.59,15,0,7.7
12.18,300.38,80,100,7.64
28.17,285.95,93,97,0.32
54.18,275.37,10,29,7.34
34.78,270.1,71,56,3.31
0.53,301.49,63,14,0.95
-10.41,298.98,81,100,3.92
53.6,262.15,85,100,1.0
58.42,265.93,94,99,3.9
12.18,287.2,25,30,8.44
31.21,283.21,73,7,6.44
26.89,279.71,90,99,0.97
-0.72,300.78,80,100,5.86
-29.67,284.73,59,0,1.19
-2.54,303.58,61,60,1.64
-20.77,307.3,44,0,6.83
-30.3,308.71,58,0,11.8
14.89,300.2,55,77,1.24
36.55,279.15,100,75,2.6
-23.78,297.91,86,72,3.19
15.86,300.15,78,40,2.6
1.56,295.92,69,95,1.18
43.11,267.15,57,20,1.0
63.59,254.15,77,90,3.1
27.21,288.22,78,1,0.62
45.79,278.15,44,75,7.7
70.86,275.42,78,43,9.55
57.27,267.46,90,100,4.48
37.72,289.15,82,75,3.1
5.65,292.36,68,68,0.21
36.21,274.03,69,0,2.59
-0.5,304.05,58,84,1.44
46.12,276.48,90,100,3.58
54.11,280.93,92,100,2.68
-38.95,305.15,15,40,8.2
48.55,271.15,86,75,3.1
-25.43,290.93,100,75,4.6
39.17,283.06,52,18,4.92
64.75,273.15,67,67,7.2
36.55,273.15,72,100,3.0
28.94,282.15,93,90,2.01
4.12,295.03,68,19,5.85
8.8,301.15,72,11,5.27
